Designator,Mid X,Mid Y,Rotation,Layer
C1,25.7048,38.8112,270.0,top
C2,38.608,13.2588,270.0,top
C3,53.0352,40.5384,270.0,top
C4,71.5772,13.482,270.0,top
C5,50.4444,61.2648,270.0,top
C6,42.8752,78.74,270.0,top
C7,25.8114,62.1692,270.0,top
J6,24.5822,5.588,270.0,top
J8,11.3792,82.55,180.0,top
J9,61.9352,5.588,270.0,top
R1,12.3952,51.816,0.0,top
R10,65.4812,42.376,0.0,top
R11,65.4812,38.326,0.0,top
R12,65.4812,34.276,0.0,top
R13,65.4812,30.226,0.0,top
R14,28.6512,73.152,0.0,top
R2,36.5252,33.02,0.0,top
R3,36.5252,54.61,0.0,top
R4,54.0512,26.416,0.0,top
R5,12.3952,55.372,0.0,top
R6,65.4812,58.576,0.0,top
R7,65.4812,54.526,0.0,top
R8,65.4812,50.476,0.0,top
R9,65.4812,46.426,0.0,top
U1,14.9402,41.392,90.0,top
U2,31.7042,81.524,90.0,top
U3,14.9402,64.76,90.0,top
U4,40.8532,43.17,90.0,top
U5,21.2902,19.817,90.0,top
U6,58.1252,16.246,90.0,top
U7,39.5782,63.744,90.0,top
